age,annual_income,monthly_expenses,savings,existing_loan,loan_amount,credit_score,investment_experience,risk_tolerance,dependents,employment_type,emergency_fund_months,investment_goal,monthly_surplus,debt_to_income_ratio,recommendation
31,279066,19275,2377833,No,0,659,Beginner,Medium,1,Business,10,Retirement,3980,0.0,Save
58,1268502,65694,437047,No,0,870,Intermediate,Medium,4,Self-Employed,6,Wealth Creation,40014,0.0,Invest
43,2166690,94144,1564788,Yes,2179176,650,Beginner,High,2,Self-Employed,2,Wealth Creation,86413,1.01,Avoid Loan
36,2468178,54983,539830,No,0,394,Beginner,High,1,Business,0,Education,150698,0.0,Avoid Loan
33,790008,43069,1586847,No,0,663,Beginner,Low,0,Business,9,Retirement,22765,0.0,Save
27,1009356,60364,851488,Yes,1092068,897,Beginner,Low,4,Salaried,10,Retirement,23749,1.08,Avoid Loan
60,955062,36540,2481307,Yes,1253415,842,Intermediate,Low,2,Self-Employed,12,Wealth Creation,43048,1.31,Avoid Loan
53,1961813,137053,608803,No,0,388,Intermediate,High,4,Self-Employed,12,Education,26431,0.0,Avoid Loan
51,1748210,121955,1450868,Yes,1963460,732,Beginner,Medium,1,Business,9,House,23729,1.12,Avoid Loan
39,2503965,133615,512749,Yes,2143271,686,Intermediate,Low,0,Self-Employed,7,Wealth Creation,75048,0.86,Avoid Loan
54,558698,23213,1974888,No,0,570,Expert,Medium,4,Self-Employed,3,Retirement,23345,0.0,Avoid Loan
42,2686753,108759,2045561,No,0,809,Beginner,High,3,Business,8,Wealth Creation,115137,0.0,Invest
49,1434552,76847,1016274,No,0,596,Beginner,High,5,Salaried,8,House,42699,0.0,Avoid Loan
51,2200039,46085,184453,Yes,1412610,712,Expert,Low,0,Self-Employed,0,House,137251,0.64,Avoid Loan
48,1954966,108897,1806080,No,0,505,Intermediate,Low,5,Self-Employed,4,Wealth Creation,54016,0.0,Avoid Loan
25,2794044,31151,1797836,No,0,746,Beginner,Medium,0,Salaried,0,Wealth Creation,201686,0.0,Save
34,431216,27747,101230,No,0,785,Intermediate,High,3,Business,10,Wealth Creation,8187,0.0,Save
34,281477,17632,1178506,No,0,662,Beginner,Medium,2,Self-Employed,6,Retirement,5824,0.0,Save
43,473782,26339,941710,No,0,646,Beginner,High,2,Salaried,5,House,13142,0.0,Save
47,2745037,71209,930312,No,0,627,Beginner,Medium,4,Salaried,6,Education,157544,0.0,Save
57,2632547,148681,2217344,Yes,1385890,525,Beginner,Low,5,Business,5,House,70697,0.53,Avoid Loan
47,2798855,18783,1108259,Yes,804880,630,Beginner,Low,4,Self-Employed,2,House,214454,0.29,Save
41,756721,44700,2004008,No,0,501,Beginner,Low,2,Self-Employed,6,Wealth Creation,18360,0.0,Avoid Loan
45,1127816,70653,1522932,Yes,552990,704,Intermediate,High,1,Business,9,Retirement,23331,0.49,Avoid Loan
34,1272884,56988,1205251,Yes,698677,446,Beginner,High,4,Business,9,House,49085,0.55,Avoid Loan
41,315300,15345,422044,No,0,727,Intermediate,Medium,5,Self-Employed,2,House,10930,0.0,Save
32,287295,19287,868510,Yes,1602216,372,Expert,Medium,1,Salaried,12,Education,4654,5.58,Avoid Loan
44,604271,18564,1698216,No,0,900,Intermediate,Medium,5,Business,12,House,31791,0.0,Invest
40,2385333,143906,2036192,Yes,397458,431,Expert,High,3,Business,12,Wealth Creation,54871,0.17,Avoid Loan
